cod_lab,cod_georef,cod_escuela,espacio,escuela_o_departamento,nombre_de_laboratorio,actividad,sede ,direccion,telefono,telefono_lab,telefono_responsable,email,email,identificacion,cargo,oficina,celular,email_univalle,codigo_pruebas_y_ensayos,grupo_de_investigacion,categoria,categoria_docente,equipo_robusto,ano_de_fundacion,m2,capacidad_estudiantes,capacidad_maxima_estudiantes,hora_semana,pce,resolución_de_creación,notas,personal 
20010,353,353,2021,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio Robótica Industrial,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jose.buitrago@correounivalle.edu.co,"Se dispone de los equipos de cómputo, manipulador tipo SCARA de 4 grados de libertad, donde se validan los aspectos teóricos y se exploran todas las prestaciones y aplicaciones de robótica industrial, como alternativa tecnológica de automatización.",,,,,,,,,,11%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20011,353,353,2023,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Experimentación en Informática Industrial,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,asfur.barandica@correounivalle.edu.co,"Capacitación en protocolos industriales de comunicación específicamente HART, Modbus Y DeviceNet.",,,,,,,,,,10%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20012,353,353,2022,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Sistemas Secuenciales y de Tiempo Real,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,carlos.pinedo@correounivalle.edu.co,"Servicios de Docencia: desarrollo de prácticas en sistemas secuenciales, sistemas de tiempo real, interfaces y sistemas embebidos para estudiantes de ingenierías de pregrado y postgrado.  Capacitación mediante cursos, diplomados y seminarios en los temas de sistemas secuenciales, sistemas de tiempo real, interfaces y sistemas embebidos. Apoyo a las actividades de investigación para validación de trabajos de grado, tesis y proyectos de investigación en líneas afines.",,,,,,,,,,25%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20013,354,354,2007,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio Robótica Móvil ,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,bladimir.bacca@correounivalle.edu.co,"Servicios de Docencia: Desarrollo de prácticas en robótica móvil para estudiantes de ingenierías de pregrado y postgrado.
Capacitación mediante cursos, diplomados y seminarios en los temas de robótica móvil, inteligencia computacional y percepción artificial. 
Apoyo a las actividades de Investigación para validación de trabajos de grado, tesis y proyectos de investigación en líneas afines.",,,,,,,,,,29%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20014,354,354,2007,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio Inteligencia Computacional,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,eduardo.caicedo@correounivalle.edu.co,,GRUPO DE INVESTIGACION EN PERCEPCION Y SISTEMAS INTELIGENTES,A,Investigador Senior (IS),,,,,,,25%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20015,353,353,1009,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Transformadores,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,ferley.castro@correounivalle.edu.co," Características generales del transformador, núcleo, bobinas, tipo de aislamiento, refrigeración, datos de placas.
• Resistencia de aislamiento.
• Rigidez dielectrica del aceite.
• Determinación de las marcas de polaridad.
• Relación de transformación.
• Determinación de la resistencia de los devanados.
• Determinaron de las perdías y corriente sin carga “transformadores monofasicos”.
• Determinaron de las perdías y determinación de corto circuito “transformadores monofasicos”.
• Pruebas anteriores para transformadores trifásicos.
• Conexiones especiales.
• Grupos de conexiones “transformadores trifásicos”.
• Pruebas especiales tales como:  
• Pruebas de impulso.
• Pruebas de tensión aplicada.
• Funcionamiento de transformadores en paralelo.
• Transformadores especiales.
• Transformadores de medida y protección.
• Calentamiento.
• Aptitud al cortocircuito.",,,,,,,,,,100%,149 del 27 de noviembre de 2012,Se verifica que se cumplen con los requisitos del PCE de docencia.,No tiene personal. Solo el profesor
20016,354,354,2006,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Procesamiento Digital de Señales,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,humberto.loaiza@correounivalle.edu.co,"Diseño de sistemas de adecuación, adquisición, preprocesamiento, procesamiento, posprocesamiento y análisis automático de señales digitales.
Diseño de sistemas de reconocimeinto de patrones.",,,,,2012,,2,16,40,21%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20017,353,353,2020,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Visión Artificial,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,humberto.loaiza@correounivalle.edu.co,"• Desarrollo de sistemas de prediagnóstico basado en imágenes
• Especificación y calibración de sistemas de visión
• Diseño de sistemas robotizados
• Diseño de sistemas de identificación biométrica
• Diseño de sistemas controlados por visión
• Análisis en el espectro infrarrojo .",,,,,,,,,,21%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20018,354,354,2010,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Diseño de Circuitos Integrados y Sistemas Electrónicos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,alvaro.bernal@correounivalle.edu.co,"Entre las actividades de investigación se realizan algunas relacionadas con: Diseño de PCBs. Descripción de Hardware de alto nivel para prototipado rápido. Desarrollo de software para aplicaciones remotas. Análisis lógico y validación funcional de sistemas electrónicos. Simulación y verificación de funciones electrónicas digitales.
710016M -  MICROELECTRÓNICA
710231M - DISEÑO DE CIRCUITOS ASÍNCRONOS
710012M - ARQUITECTURA DE COMPUTADORES
710021 - TECNOLOGÍA MICROELECTRÓNICA CMOS",ARQUITECTURAS DIGITALES Y MICROELECTRONICAS,B,Investigador Senior (IS),,2012,,17,8,40,16%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20019,354,354,1001,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Percepción y Sistemas Inteligentes,INVESTIGACION,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,eduardo.caicedo@correounivalle.edu.co,,GRUPO DE INVESTIGACION EN PERCEPCION Y SISTEMAS INTELIGENTES,A,Investigador Senior (IS),,,,,,,17%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20020,353,353,2010,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Telecomunicaciones,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,leandro.villa@correounivalle.edu.co,"Capacitación en tecnologías del nivel físico de los sistemas de comunicaciones.
710119M - Controladoladores Programables
710209M - Microprocesadores II
710199M - Fuentes y Amplificadores
710168M - Lab. De Sistemas Digitales I",,,,,2012,,5,14,,32%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20021,353,353,no se encontro en visita de campo,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,Laboratorio de Ensayo de Bobinas,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jairo.palacios@corrounivalle.edu.co,"Ensayos de factor de disipación según la práctica recomendada IEEE 286-(R2006).
Ensayo de Voltage Endurance segun la práctica recomendada IEEE 1043-(R2009).
Pruebas de ciclado termico segun los procedimientos recomendados en la IEEE 1310-2012.",,,,,,,,,,16%,040 del 8 de abril de 2014,,No tiene personal. Solo el profesor
20022,335 - 336,335 - 336,no se encontro en visita de campo,"INGENIERIA DE RECURSOS NATURALES 
Y DEL AMBIENTE",Laboratorio de Aguas y Residuos Ambientales                              ,EXTENSIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,luz.barba@correounivalle.edu.co,"ANÁLISIS FÍSICOQUÍMICOS: 
Alcalinidad a la fenolftaleína (mg CaCO3/l)
Alcalinidad total (mg CaCO3/l)
Arsénico (μg As / l)
Cadmio (mg Cd/l)
Carbono Orgánico Total (mg/l)
Cianuros (mg CN-/l)
Cloro residual (mg Cl2/l)
Cloro residual (mg Cl2/l)
Cloruros (mg Cl-/l)
Cobre (mg Cu/l)
Color aparente (U.P.C.)
Color real (U.P.C)
Conductividad (µS/cm) (T=25ºC)
Cromo +6 (mg/l)
Cromo total (mg Cr/l)
DBO5 (mg O2/ l)
Dióxido ce Carbono (mg/L)
DQO reflujo abierto (mg O2/ l)
DQO reflujo cerrado (mg O2/ l)
Dureza Total (mg CaCO3/l)
Dureza cálcica (mg CaCO3/l)
Dureza magnésica (mg CaCO3/l)
Fenoles (mg Fenol/l)
Fosfatos (mg P-PO43-/l)
Fosfitos (mg P-PO3-3 /l )
Fósforo Total (mg P-PO43-/l)
Grasas y/o aceites (mg/l)
Manganeso (mg Mn/l)
Manganeso colorimétrico (mg Mn/l)
Nitritos (mg N-NO2-/l)
Nitrógeno amoniacal (mg N-NH3/l)
Nitrógeno total kjeldahl (mg NTK/l)
Nitrógeno amoniacal (mg N-NH3/l)
Nitratos (mg N-NO3-/l)
Nitrógeno total kjeldahl (mg NTK/l)
Mercurio (μg Hg /l )
Oxigeno disuelto – método membrana
Oxigeno disuelto – método modificación de Azida
pH (Unidades)
Plata (mg Ag /l)
Plomo (mg Pb /l)
Sólido suspendidos totales (mg/l)
Sólidos disueltos (mg/l)
Sólidos sedimentables (ml/l_10min)
Sólidos sedimentables (ml/l_1h)
Sólidos totales (mg/l)
Sulfatos (mg SO42-/l)
Sustancias activas al azul de metileno ó detergentes (SAAM) (mg/l)
Temperatura(ºC)(in situ)
Turbiedad (U.N.T)
Zinc (mg Zn/l)
Hierro total (mg Fe/l)
Hierro total (mg Fe/l) colorimétrico
Hidrocarburos Totales (mg/l)",,,,,,,,,,47%,"072 del 25 de mayo de 2005
172 del 9 de noviembre de 2010",Laboratorio acreditado,Dos profesionales
20023,336,336,2038,"INGENIERIA DE RECURSOS NATURALES 
Y DEL AMBIENTE",Laboratorio de Microbiología   y Biotecnología  Ambiental,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,janeth.sanabria@gmail.com,"En los aspectos de Microbiología Ambiental este laboratorio proporciona servicios a la comunidad en temas como:

Análisis de la flora microbiana en el suelo
Bacterias: Nitrificantes, Denitrificantes, Fijadoras de Nitrógen, Solubilizadoras de fosfato, Heterótrofas totales, Coliformes Totales y Fecales,
Pseudomonas sp. Hongos: Recuento total de hongos y levaduras, Fitopatógenos, Actinomicetos, Métodos moleculares (Fish). 
Análisis de flora microbiana en el agua
Bacterias: Heterótrofas totales, Coliformes Totales y Fecales, Pseudomonas aeruginosa, Pseudomonas faecalis, Bacteriófagos. Hongos: Recuento total de hongos y levaduras
Calidad sanitaria de productos de tratamiento
Agua potable: Recuento de Bacterias heterótrofas, Recuento de Coliformes totales y fecales, Recuento de Hongos y levaduras, Recuento de Pseudomonas aeruginosa, Recuento de Streptococcus faecalis. Agua residual: Recuento de Bacterias heterótrofas, Recuento de Coliformes totales y fecales, Pseudomonas sp. Compost: Recuento de Bacterias heterótrofas, Actinomicetos, Presencia/Ausencia de Salmonella sp, Recuento de Coliformes totales y fecales, Recuento de Bacterias Fijadoras de nitrógeno.
Análisis de sistemas de tratamiento y Lodos
Producción de Metano: Actividad metanogénica especifica. Recuento de Bacterias anaerobias. Recuento de sulfooxidantes. Recuento de Nitrificantes. Recuento de Bacterias Fijadoras de Nitrógeno. Recuento de Bacterias Solubilizadoras de fosfato. Recuento de Heterótrofos.
Actinomicetos.
Análisis de Calidad Sanitaria de aguas y alimentos
Recuento de Mesófilas totales. Recuento de Coliformes totales y Fecales. Recuento de Huevos de Helmintos. Recuento de Hongos
Para el análisis microbiológicos se utilizan métodos normalizados de la AWWA, WEF, APHA (Standard Methods for examination of water and waste water), 21th edición de Estados Unidos, APHA, AOAC, adaptados a condiciones locales. De la misma forma se utilizan metodologías adaptadas y validadas en el laboratorio. También se realizan asesorías. ",GRUPO DE INVESTIGACION EN PROCESOS AVANZADOS PARA TRATAMIENTO BIOLOGICOS Y QUIMICOS - GAOX,,Investigador Senior (IS),MICROSCOPIO ECLIPSE 90I ($99.728.418),1970,,6,38,40,46%,"072 del 25 de mayo de 2005
172 del 9 de noviembre de 2010
040 del 8 de abril de 2014",Ganador de convocatoria 001,Una  Profesional
20024,335,335,1004,"INGENIERIA DE RECURSOS NATURALES 
Y DEL AMBIENTE",Laboratorio de Química  Ambiental - Análisis Químico e Instrumental,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,luz.barba@correounivalle.edu.co,"• Estudios y determinación del comportamiento de las sustancias químicas en el ambiente 
• Estudios de biodegradabilidad de residuos por medios aerobios y anaerobios 
• Estudios toxicológicos y remoción de metales 
• Estudios de fitorremediación de lixiviados de rellenos sanitarios 
• Estudio para el tratamiento de aguas provenientes de minas de carbón",,,,,,,,,,25%,040 del 8 de abril de 2014,Ganador de convocatoria 001,"No tiene personal, solo la Profesora"
20025,335,335,2014,"INGENIERIA DE RECURSOS NATURALES 
Y DEL AMBIENTE",Laboratorio de Biotecnología Ambiental  ,INVESTIGACION,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jenny.rodriguez@correounivalle.edu.co,"Investigación relacionada con caracterización de lodos de inóculo para reactores anaerobios y aerobios.
Investigación relacionada con estudios de biodegradabilidad a escala laboratorio y planta piloto.
Investigación relacionada con estudios de tratabilidad del agua residual a escala de laboratorio y planta piloto.",,,,,,,,,,0%,,"No tiene resolución Falta actualizar formatos, tiene un monitor para los dos primeros pasos. Me atrevería a decir que estan en un 5%, auque falta revisar","No tiene personal, solo la Profesora"
20026,340,340,1006 - 1011- 1004,"INGENIERIA DE RECURSOS NATURALES 
Y DEL AMBIENTE",Laboratorio de Combustión Combustibles ,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,"EXT 
2135-3239",,,,,,,,jaime.acuna@correounivalle.edu.co,"Las pruebas que se realizan a los combustibles sólidos como :  Carbón, derivados del caña y desechos sólidos son:

Análisis próximo completo Humedad residual
Humedad total , cenizas, ,materia Volátil, Carbono Fijo, Azufre Total, Poder calorífico superior, Obtención de cenizas, Fusibilidad de cenizas, Inquemados, Preparación muestras fusibilidad de cenizas, Análisis Elemental en sólidos ( carbono, hidrógeno, nitrógeno), Análisis termogravimetrico TGA, Calorimetria de barrido diferencial DSC, Análisis TGA y DSC.

Las pruebas que se realizan a los combustibles liquidos derivados del petroleo (crudo, Fuel oil, Aceites):
Humedad por destilación, Curva de destilación, Curva de destilación, Densidad, Cenizas, Poder calorífico superior, Azufre total
Gravedad especifica, Gravedad API, Viscosidad Cinemática Saybolt, Viscosidad Dinámica cPsPunto de inflamación copa abierta
Punto de Inflamación copa cerrada TAG, Punto de inflamación copa cerrada Pensky martens (inflamabilidad), Indice de Cetano
Pruebas básicas en líquidos (humedad, cenizas, poder calorífico,azufre,punto de inflamación, API) ",,,,,,,,,,48%,003 del 29 de junio de 1993,"Piloto
Este lab. no se ha visitado porque esta en proceso de acreditación ",Un laboratorista y un Profesional
20027,335,335,,"INGENIERIA DE RECURSOS NATURALES 
Y DEL AMBIENTE",Laboratorio de Control Contaminación Atmosférica,INVESTIGACION,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,juan.silva@correounivalle.edu.co,"Medición de material particulado PM10 y emisiones atmosféricas.
Estudios experimentales de procesos de tratamiento de gases a través de proyectos de 
investigación conjunta Universidad - Empresa.",ESTUDIO Y CONTROL DE LA CONTAMINACION AMBIENTAL,A,Investigador Asociado (I),,,,,,,45%,,No tiene resolución. Ha trabajado en la implementación ,"No tiene personal, solo el  Profesor"
20028,360,360,1000,"INGENIERIA DE RECURSOS NATURALES 
Y DEL AMBIENTE",Laboratorio de Mecánica de Fluidos e Hidráulica,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jose.l.garcia@correounivalle.edu.co,"• Prueba de presión sostenida para tubos PVC y mangueras 
• Prueba de presión de rotura para tubos PVC y mangueras 
• Modelos hidráulicos a escala 
• Mediciones de campo: muestreo de sedimentos de fondo y suspensión, trayectoria de líneas de corriente, aforos de corrientes, batimetrías de ríos y mares, parámetros fisco-químicos del agua, etc.).",,,,,1970,240,10,100,40,9%,149 del 27 de noviembre de 2012,,"Hay un Técnico nombrado, y dos contratistas"
20029,360,360,1007,"INGENIERIA DE RECURSOS NATURALES 
Y DEL AMBIENTE",Laboratorio Aguas y Suelos Agrícolas,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,aldemar.reyes@correounivalle.edu.co,"Introducción a la ingeniería Agrícola, Introducción a las tecnologías Ambientales, Fundamento de suelos, Ciencia del suelo I-II para Ing. Agricola, Fundamentos de Fertilidad, Ciencia del suelo para Tecnología, Técnicas de recuperación de suelos degradados, Agricultura de Precisión, Fertirrigación, Manejo y conservación de suelos, Geología y Suelos, Biología vegetal y Ecología, Fisiología vegetal, Bioquímica, Hidrología, Fundamentos de Operaciones de Campo.                                                                                                                                                   Manejo Integrado del recurso Agua y Técnicas de Laboratorio de Suelos (Tecn. Agroambiental - Sede Caicedonia).",,,,,1984,56,10,10,30,19%,149 del 27 de noviembre de 2012,,Hay una Tecnologa nombrada como Laboratorista
20030,335,335,2002,"INGENIERIA DE RECURSOS NATURALES 
Y DEL AMBIENTE",Laboratorio de Química  Ambiental ,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,hector.gutierrez@correounivalle.edu.co,"Alcalinidad,   Acidez, Dureza, Ablandamiento por intercambio iónico, Ablandamiento por precipitación, Sulfatos, Cloruros, Hierro, Manganeso
Cloro libre, Punto de quiebre, pH, Turbiedad, Conductividad, Oxigeno disuelto, DQO, DBO, Sólidos suspendidos, Sólidos totales, Sólidos sediméntales, Materia orgánica en suelos, pH en suelos, Caracterización de residuos, Metales en suelos",GRUPO DE INVESTIGACIÓN GESTIÓN INTEGRAL DEL RIEGO PARA EL DESARROLLO AGRICOLA Y LA SEGURIDAD ALIMENTARIA - REGAR,C,,,,,,,,21%,040 del 8 de abril de 2014,,"No tiene personal, solo el  Profesor"
20031,335,335,1003,"INGENIERIA DE RECURSOS NATURALES 
Y DEL AMBIENTE",Laboratorio de Procesos de Tratamiento ,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jenny.rodriguez@correounivalle.edu.co,"Las prácticas que se realizan estan relacionadas con estudios de tratabilidad de agua  y agua residual.
1. Laboratorio de Procesos de tratamiento, 
2. Laboratorio de Procesos de tratamiento ll, 
3. Laboratorio de Procesos ambientale , 
4. Practicas de laboratorio para posgrado.",,,,,,50,6,18,20,7%,,"No tiene resolución Falta actualizar formatos, tiene un monitor para los dos primeros pasos.","No tiene personal, Solo esta la Profesora "
